Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
KRWJPY,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,18.0
KRWUSD,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
KRWUSD_mini,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
LEAD_LME,FGHJKMNQUVXZ,-45.0,1,FGHJKMNQUVXZ,14.0
LEANHOG,GJMNQVZ,-60.0,-1,GJKMNQVZ,13.0
LIBOR1,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
LIVECOW,GJMQVZ,-60.0,-1,GJMQVZ,28.0
LUMBER,FHKNUX,-50.0,1,FHKNUX,15.0
LUMBER-new,FHKNUX,-50.0,1,FHKNUX,15.0
MARS-ARGUS,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
MIB,HMUZ,-5.0,1,HMUZ,20.0
MIB-DIVI,MZ,-5.0,1,MZ,19.0
MIB_micro,HMUZ,-5.0,1,HMUZ,18.0
MIB_mini,HMUZ,-5.0,1,HMUZ,18.0
MID-DAX,HMUZ,-5.0,1,HMUZ,15.0
MILK,FGHJKMNQUVXZ,-60.0,-1,FGHJKMNQUVXZ,14.0
MILKDRY,FGHJKMNQUVXZ,-180.0,-1,FGHJKMNQUVXZ,18.0
MILKWET,FGHJKMNQUVXZ,-90.0,-1,FGHJKMNQUVXZ,15.0
MILLWHEAT,HKUZ,-60.0,-1,HKUZ,9.0
MSCIASIA,HMUZ,-5.0,1,HMUZ,15.0
MSCIBRAZIL,HMUZ,-5.0,1,HMUZ,15.0
MSCIEAFA,HMUZ,-5.0,1,HMUZ,19.0
MSCIEM,HJKMUZ,-10.0,1,HJKMUZ,17.0
MSCIEM-LIFFE,HMUZ,-5.0,1,HMUZ,15.0
MSCIEMASIA,M,-5.0,1,M,17.0
MSCIEURONET,HMUZ,-5.0,1,HMUZ,19.0
MSCIEURONET-ICE,HMUZ,-5.0,1,HMUZ,15.0
MSCIEUROPE,HJKMUZ,-10.0,1,HJKMUZ,17.0
MSCIEUROPE-ICE,HMUZ,-5.0,1,HMUZ,15.0
MSCIEUROPE-LIFFE,HMUZ,-5.0,1,HMUZ,20.0
MSCIINDO,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,21.0
MSCIJAPAN,HMUZ,-5.0,1,HMUZ,20.0
MSCIJAPAN-LIFFE,HMUZ,-5.0,1,HMUZ,20.0
MSCILATIN,HMUZ,-5.0,1,HMUZ,20.0
MSCIPANEURO-LIFFE,HMUZ,-5.0,1,HMUZ,21.0
MSCISING,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,27.0
MSCITAIWAN,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,24.0
MSCIUSA,HMUZ,-5.0,1,HMUZ,19.0
MSCIWORLD,HMUZ,-5.0,1,HMUZ,15.0
MSCIWORLD-MINVOL,HMUZ,-5.0,1,HMUZ,15.0
MSCIWORLDNET-EUR,HMUZ,-5.0,1,HMUZ,19.0
MSCIWORLDNET-USD,HMUZ,-5.0,1,HMUZ,19.0
MUMMY,HMUZ,-5.0,1,HMUZ,14.0
MXP,HMUZ,-5.0,1,HMUZ,17.0
NASDAQ,HMUZ,-5.0,1,HMUZ,14.0
NASDAQ_micro,HMUZ,-5.0,1,HMUZ,14.0
NASDAQ_mini,HMZ,-5.0,1,HMZ,18.0
NICKEL_LME,FGHJKMNQUVXZ,-45.0,1,FGHJKMNQUVXZ,14.0
NIFTY,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
NIFTY-IN,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,20.0
NIKKEI,HMUZ,-5.0,1,FGHJKMNQUVXZ,14.0
NIKKEI-CME,HMUZ,-5.0,1,HMUZ,19.0
NIKKEI-JPY,FGHJKMNUVXZ,-10.0,1,FGHJKMNUVXZ,19.0
NIKKEI-JPY_mini,HMUZ,-10.0,1,HMUZ,15.0
NIKKEI-SGX,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,21.0
NIKKEI-SGX-DIV,Z,-10.0,1,Z,20.0
NIKKEI-SGX-USD,HMUZ,-10.0,1,HMUZ,14.0
NIKKEI-SGX_mini,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,18.0
NIKKEI400,HMUZ,-5.0,1,HMUZ,14.0
NIKKEI_large,HMUZ,-5.0,1,HMUZ,19.0
NZD,HMUZ,-10.0,1,HMUZ,17.0
OAT,HMUZ,-5.0,1,HMUZ,6.0
OAT5,HMUZ,-5.0,1,HMUZ,20.0
OATIES,HKNUZ,-90.0,-1,HKNUZ,14.0
OJ,FHKNUX,-40.0,1,FHKNUX,9.0
