Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
RICE,FHKNUX,-90.0,-1,FHKNUX,14.0
ROBUSTA,FHKNUX,-50.0,-1,FHKNUX,24.0
RUBBER,FGHJKMNQUVXZ,-30.0,1,FGHJKMNQUVXZ,-1.0
RUBBER-RSS,FGHJKMNQUVXZ,-87.0,1,FGHJKMNQUVXZ,24.0
RUR,HMUZ,-5.0,1,HMUZ,17.0
RUSSELL,HMUZ,-5.0,1,HMUZ,15.0
RUSSELL-GROWTH,HMUZ,-5.0,1,HMUZ,17.0
RUSSELL-VALUE,HMUZ,-5.0,1,HMUZ,17.0
RUSSELL_mini,HMUZ,-5.0,1,HMUZ,15.0
SARONA,HMUZ,-200.0,-1,HMUZ,19.0
SGD,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
SGD_mini,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
SGX,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
SHATZ,HMUZ,-5.0,1,HMUZ,6.0
SILVER,HKNUZ,-45.0,-1,FGHJKMNQUVXZ,26.0
SILVER-mini,FHKNUZ,-45.0,-1,FHKNUZ,-5.0
SING-REALESTATE,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,23.0
SMI,HMUZ,-5.0,1,HMUZ,14.0
SMI-DIV,Z,-5.0,1,Z,19.0
SMI-MID,HMUZ,-5.0,1,HMUZ,14.0
SMIETF,HMUZ,-5.0,1,HMUZ,19.0
SOFR,HMUZ,-1000.0,-1,HMUZ,18.0
SOFR1,HMUZ,-200.0,-1,HMUZ,5.0
SONIA,HMUZ,-5.0,1,HMUZ,14.0
SONIA1,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,27.0
SONIA3,HMUZ,-1000.0,-1,HMUZ,9.0
SOYBEAN,X,-60.0,-1,FHKNQUX,13.0
SOYBEAN_mini,FHKNQUX,-45.0,1,FHKNQUX,13.0
SOYMEAL,FHKNQUVZ,-90.0,-1,FHKNQUVZ,14.0
SOYOIL,FHKNQUVZ,-90.0,-1,FHKNQUVZ,14.0
SP400,HMUZ,-5.0,1,HMUZ,15.0
SP500,HMUZ,-5.0,1,HMUZ,14.0
SP500-GROWTH,HMZ,-5.0,1,HMZ,19.0
SP500-VALUE,HMZ,-5.0,1,HMZ,18.0
SP500_micro,HMUZ,-5.0,1,HMUZ,14.0
SP500_mini,HMUZ,-5.0,1,HMUZ,17.0
SP600-SMALL,HMUZ,-5.0,1,HMUZ,19.0
SPI200,HMUZ,-30.0,1,FGHJKMNQUVXZ,14.0
STEEL,FGHJKMNQUVXZ,-90.0,-1,FGHJKMNQUVXZ,15.0
STERLING3,HMUZ,-30.0,1,FGHJKMNQUVXZ,15.0
SUGAR11,HKNV,-60.0,-1,HKNV,-2.0
SUGAR16,FHKNUX,-60.0,-1,FHKNUX,7.0
SUGAR_WHITE,HKQVZ,-60.0,-1,HKQVZ,-2.0
SWISSLEAD,HMUZ,-5.0,1,HMUZ,14.0
TECDAX,HMUZ,-5.0,1,HMUZ,19.0
THB,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,29.0
TIN_LME,FGHJKMNQUVXZ,-45.0,1,FGHJKMNQUVXZ,14.0
TOPIX,HMUZ,-5.0,1,HMUZ,14.0
TOPIX30,HMUZ,-5.0,1,HMUZ,13.0
TOPIX_Large,HMUZ,-5.0,1,HMUZ,15.0
TSE60,HMUZ,-5.0,1,HMUZ,14.0
TSX,HMUZ,-5.0,1,HMUZ,16.0
TWD,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
TWD-mini,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
UMBS-20,FGHJKZ,-5.0,1,FGHJKZ,15.0
UMBS-25,FGHJKZ,-5.0,1,FGHJKZ,15.0
UMBS-30,FGHJKZ,-5.0,1,FGHJKZ,15.0
UMBS-35,FGHJKZ,-5.0,1,FGHJKZ,15.0
UMBS-40,FGHJKZ,-5.0,1,FGHJKZ,15.0
UMBS-45,FGHJKZ,-5.0,1,FGHJKZ,15.0
UMBS-50,FGHJKZ,-5.0,1,FGHJKZ,15.0
URANIUM,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,17.0
US-BIOTECH,HMUZ,-5.0,1,HMUZ,21.0
US-DISCRETE,HMUZ,-5.0,1,HMUZ,15.0
US-ENERGY,HMUZ,-5.0,1,HMUZ,15.0
US-FINANCE,HMUZ,-5.0,1,HMUZ,15.0
US-HEALTH,HMUZ,-5.0,1,HMUZ,15.0
US-INDUSTRY,HMUZ,-5.0,1,HMUZ,15.0
US-INSURE,HMUZ,-5.0,1,HMUZ,20.0
US-MATERIAL,HMUZ,-5.0,1,HMUZ,15.0
US-OILGAS,HMUZ,-5.0,1,HMUZ,18.0
US-PROPERTY,HMUZ,-5.0,1,HMUZ,15.0
US-REALESTATE,HMUZ,-2.0,1,HMUZ,17.0
US-REGBANK,HMUZ,-5.0,1,HMUZ,20.0
US-RETAIL,HMUZ,-5.0,1,HMUZ,21.0
US-SEMICONDUCTOR,HMUZ,-5.0,1,HMUZ,20.0
US-STAPLES,HMUZ,-5.0,1,HMUZ,15.0
US-TECH,HMUZ,-5.0,1,HMUZ,15.0
US-UTILS,HMUZ,-5.0,1,HMUZ,15.0
US10,HMUZ,-25.0,1,HMUZ,19.0
US10U,HMUZ,-25.0,1,HMUZ,19.0
US10Y_micro,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,29.0
US10Y_small,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
US2,HMUZ,-25.0,1,HMUZ,19.0
US20,HMUZ,-25.0,1,HMUZ,19.0
US20-new,HMUZ,-25.0,1,HMUZ,19.0
US2Y_micro,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,29.0
US2Y_small,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
US3,HMUZ,-25.0,1,HMUZ,19.0
US30,HMUZ,-25.0,1,HMUZ,19.0
US30Y_micro,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,29.0
US30Y_small,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,14.0
US5,HMUZ,-25.0,1,HMUZ,19.0
US5Y_micro,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,28.0
USDCAD_micro,HMUZ,-5.0,1,HMUZ,19.0
USDCHF_micro,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
USDCNH-CME,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,20.0
USDCNH-HK,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,14.0
USDCNH-SGX_mini,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
USDINR,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
USDKRW,HMUZ,-10.0,1,HMUZ,15.0
USDMXP,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
USIRS10,HMUZ,-20.0,1,HMUZ,15.0
USIRS10ERIS,HMZ,-5.0,1,HMZ,19.0
USIRS12ERIS,HMUZ,-5.0,1,HMUZ,-62.0
USIRS15ERIS,HMUZ,-5.0,1,HMUZ,-58.0
USIRS2,HMZ,-5.0,1,HMZ,19.0
USIRS20ERIS,HMUZ,-5.0,1,HMUZ,-18.0
USIRS2ERIS,HMUZ,-740.0,1,HMUZ,15.0
USIRS30,HMZ,-5.0,1,HMZ,19.0
USIRS3ERIS,HMUZ,-5.0,1,HMUZ,19.0
USIRS4ERIS,HMUZ,-5.0,1,HMUZ,19.0
USIRS5,HMUZ,-20.0,1,HMUZ,15.0
USIRS5ERIS,HMUZ,-1835.0,1,HMUZ,15.0
USIRS5ERIS_SOFR,HMUZ,-1835.0,1,HMUZ,15.0
USIRS7ERIS,HMUZ,-5.0,1,HMUZ,19.0
V2X,FGHJKMNQUVXZ,-60.0,-1,FGHJKMNQUVXZ,19.0
VHANG,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
VIX,FGHJKMNQUVXZ,-60.0,-1,FGHJKMNQUVXZ,19.0
VIX_mini,FGHJKMNQUVXZ,-60.0,-1,FGHJKMNQUVXZ,19.0
VNKI,FGHJKMNQUVXZ,-60.0,-1,FGHJKMNQUVXZ,15.0
VOLQ,FGHJKMNQVXZ,-5.0,1,FGHJKMNQVXZ,17.0
WATER-CALI,FGHJKMNQUXZ,-5.0,1,FGHJKMNQUXZ,16.0
WHEAT,Z,-60.0,-1,HKNUZ,13.0
WHEAT-ASX,FHKNU,-5.0,1,FHKNU,13.0
WHEAT_ICE,KX,-100.0,-1,XFHKN,6.0
WHEAT_mini,HKNUZ,-30.0,1,HKNUZ,13.0
WHEY,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,15.0
YENEUR,HMUZ,-5.0,1,HMUZ,15.0
YENEUR-ICE,HMUZ,-5.0,1,HMUZ,14.0
ZAR,HMUZ,-5.0,1,HMUZ,12.0
ZINC_LME,FGHJKMNQUVXZ,-45.0,1,FGHJKMNQUVXZ,14.0
AW,HMUZ,-30.0,1,HMUZ,12.0
GD,FGHJKMNQUVXZ,-30.0,1,FGHJKMNQUVXZ,11.0
CB,FGHJKMNQUVXZ,-30.0,-1,FGHJKMNQUVXZ,-5.0
GNF,FGHJKMNQUVXZ,-30.0,-1,FGHJKMNQUVXZ,-5.0
GDK,FGHJKMNQUVXZ,-30.0,-1,FGHJKMNQUVXZ,-5.0
DY,FGHJKMNQUVXZ,-30.0,-1,FGHJKMNQUVXZ,-5.0
ZC,HKNUZ,-30.0,-1,HKNUZ,10.0
ZW,HKNUZ,-30.0,-1,HKNUZ,10.0
KE,HKNUZ,-30.0,-1,HKNUZ,10.0
ZR,FHKNUX,-30.0,-1,FHKNUX,10.0
XC,HKNUZ,-30.0,1,HKNUZ,10.0
ZO,HKNUZ,-30.0,-1,HKNUZ,10.0
XW,HKNUZ,-30.0,1,HKNUZ,10.0
LE,GJMQVZ,-30.0,-1,GJMQVZ,26.0
HE,GJKMNQVZ,-30.0,-1,GJKMNQVZ,10.0
GF,FHJKQUVX,-30.0,-1,FHJKQUVX,26.0
LBR,FHKNUX,-30.0,-1,FHKNUX,11.0
ZS,FHKNQUX,-30.0,-1,FHKNQUX,10.0
ZM,FHKNQUVZ,-30.0,-1,FHKNQUVZ,10.0
ZL,FHKNQUVZ,-30.0,-1,FHKNQUVZ,10.0
XK,FHKNQUX,-30.0,1,FHKNQUX,10.0
BTC,HMUZ,-5.0,1,HMUZ,26.0
MBT,HMUZ,-5.0,1,HMUZ,26.0
MET,HMUZ,-5.0,1,HMUZ,22.0
ETH,HMUZ,-5.0,1,HMUZ,26.0
CL,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-12.0
BZ,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-68.0
MCL,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-13.0
QM,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-13.0
NG,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-7.0
HH,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-7.0
QG,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,25.0
RB,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-5.0
HO,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-5.0
QU,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,-6.0
MRB,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,-6.0
QH,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,-6.0
YM,HMUZ,-10.0,1,HMUZ,12.0
RX,HMUZ,-10.0,1,HMUZ,12.0
MYM,HMUZ,-10.0,1,HMUZ,12.0
NQ,HMUZ,-10.0,1,HMUZ,12.0
MNQ,HMUZ,-10.0,1,HMUZ,12.0
RTY,HMUZ,-10.0,1,HMUZ,12.0
M2K,HMUZ,-10.0,1,HMUZ,12.0
RS1,HMUZ,-10.0,1,HMUZ,12.0
R2G,HMUZ,-10.0,1,HMUZ,12.0
RSG,HMUZ,-10.0,1,HMUZ,12.0
ES,HMUZ,-10.0,1,HMUZ,12.0
MES,HMUZ,-10.0,1,HMUZ,12.0
EMD,HMUZ,-10.0,1,HMUZ,12.0
XAF,HMUZ,-10.0,1,HMUZ,12.0
XAE,HMUZ,-10.0,1,HMUZ,12.0
XAI,HMUZ,-10.0,1,HMUZ,12.0
XAU,HMUZ,-10.0,1,HMUZ,12.0
XAV,HMUZ,-10.0,1,HMUZ,12.0
XAP,HMUZ,-10.0,1,HMUZ,12.0
XAK,HMUZ,-10.0,1,HMUZ,12.0
XAR,HMUZ,-10.0,1,HMUZ,12.0
XAB,HMUZ,-10.0,1,HMUZ,12.0
XAY,HMUZ,-10.0,1,HMUZ,12.0
XAZ,HMUZ,-10.0,1,HMUZ,12.0
6M,HMUZ,-5.0,1,HMUZ,10.0
6L,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,-5.0
6Z,HMUZ,-5.0,1,HMUZ,10.0
SIR,HMUZ,-5.0,1,HMUZ,24.0
PLN,HMUZ,-5.0,1,HMUZ,10.0
KRW,HMUZ,-5.0,1,HMUZ,10.0
TRL,HMUZ,-5.0,1,HMUZ,10.0
ILS,HMUZ,-5.0,1,HMUZ,10.0
HUF,HMUZ,-5.0,1,HMUZ,10.0
CZK,HMUZ,-5.0,1,HMUZ,10.0
6E,HMUZ,-5.0,1,HMUZ,8.0
6B,HMUZ,-5.0,1,HMUZ,10.0
6J,HMUZ,-5.0,1,HMUZ,10.0
6C,HMUZ,-5.0,1,HMUZ,11.0
6A,HMUZ,-5.0,1,HMUZ,10.0
6S,HMUZ,-5.0,1,HMUZ,10.0
6N,HMUZ,-5.0,1,HMUZ,10.0
M6E,HMUZ,-5.0,1,HMUZ,10.0
E7,HMUZ,-5.0,1,HMUZ,10.0
M6A,HMUZ,-5.0,1,HMUZ,10.0
M6B,HMUZ,-5.0,1,HMUZ,10.0
MCD,HMUZ,-5.0,1,HMUZ,11.0
NOK,HMUZ,-5.0,1,HMUZ,10.0
SEK,HMUZ,-5.0,1,HMUZ,10.0
MSF,HMUZ,-5.0,1,HMUZ,10.0
J7,HMUZ,-5.0,1,HMUZ,10.0
MIR,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,23.0
SR3,HMUZ,-1000.0,-1,HMUZ,11.0
GE,HMUZ,-1000.0,-1,HMUZ,10.0
ZQ,FGHJKMNQUVXZ,-180.0,-1,FGHJKMNQUVXZ,26.0
SR1,FGHJKMNQUVXZ,-200.0,-1,FGHJKMNQUVXZ,26.0
ZF,HMUZ,-30.0,1,HMUZ,26.0
ZN,HMUZ,-30.0,1,HMUZ,19.0
ZT,HMUZ,-30.0,1,HMUZ,26.0
TN,HMUZ,-30.0,1,HMUZ,19.0
UB,HMUZ,-30.0,1,HMUZ,19.0
ZB,HMUZ,-30.0,1,HMUZ,19.0
Z3N,HMUZ,-30.0,1,HMUZ,26.0
10Y,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
2YY,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
TWE,HMUZ,-30.0,1,HMUZ,17.0
30Y,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
5YY,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
HG,HKNUZ,-40.0,-1,HKNUZ,23.0
ALI,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,23.0
MHG,HKNUZ,-40.0,1,HKNUZ,-7.0
QC,HKNUZ,-40.0,1,HKNUZ,-7.0
HRC,FGHJKMNQUVXZ,-40.0,1,FGHJKMNQUVXZ,25.0
UX,FGHJKMNQUVXZ,-40.0,1,FGHJKMNQUVXZ,23.0
GC,GJMQVZ,-40.0,-1,GJMQVZ,23.0
SI,FHKNUZ,-40.0,-1,FHKNUZ,23.0
PL,FJNV,-40.0,1,FJNV,26.0
MGC,GJMQVZ,-40.0,-1,GJMQVZ,23.0
PA,HMUZ,-40.0,-1,HMUZ,23.0
SIL,FHKNUZ,-40.0,1,FHKNUZ,23.0
QO,GJMQVZ,-40.0,1,GJMQVZ,-7.0
QI,FHKNUZ,-40.0,-1,FHKNUZ,-7.0
SGU,GJMQVZ,-40.0,1,GJMQVZ,23.0
SIL_syn,FHKNUZ,-40.0,1,FHKNUZ,23.0
QI_syn,FHKNUZ,-40.0,-1,FHKNUZ,-7.0
MGC_syn,GJMQVZ,-40.0,-1,GJMQVZ,23.0
QO_syn,GJMQVZ,-40.0,1,GJMQVZ,-7.0
QC_syn,HKNUZ,-40.0,1,HKNUZ,-7.0
MCD_syn,HMUZ,-5.0,1,HMUZ,11.0
M6B_syn,HMUZ,-5.0,1,HMUZ,10.0
M6A_syn,HMUZ,-5.0,1,HMUZ,10.0
MSF_syn,HMUZ,-5.0,1,HMUZ,10.0
M6E_syn,HMUZ,-5.0,1,HMUZ,10.0
MES_syn,HMUZ,-10.0,1,HMUZ,12.0
M2K_syn,HMUZ,-10.0,1,HMUZ,12.0
MNQ_syn,HMUZ,-10.0,1,HMUZ,12.0
MYM_syn,HMUZ,-10.0,1,HMUZ,12.0
QH_syn,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,-6.0
MRB_syn,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,-6.0
QU_syn,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,-6.0
QG_syn,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,25.0
MCL_syn,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-13.0
QM_syn,FGHJKMNQUVXZ,-20.0,-1,FGHJKMNQUVXZ,-13.0
MBT_syn,HMUZ,-5.0,1,HMUZ,26.0
XK_syn,FHKNQUX,-30.0,1,FHKNQUX,10.0
XW_syn,HKNUZ,-30.0,1,HKNUZ,10.0
XC_syn,HKNUZ,-30.0,1,HKNUZ,10.0
